tanggal,waktu,id,produk
06/05/2023 07:50:00,07:50:00 AM,41,Wincheez
06/05/2023 07:55:00,07:55:00 AM,42,Plastik Klip 5x8
06/05/2023 12:15:00,12:15:00 PM,43,Wayang 10x15x05
06/05/2023 12:15:00,12:15:00 PM,43,Wayang 17x30x05
06/05/2023 12:20:00,12:20:00 PM,44,Wayang 14x25x05
06/05/2023 12:20:00,12:20:00 PM,44,Wayang 20x35x05
06/05/2023 15:22:00,03:22:00 PM,45,Thinwall 350ml
06/05/2023 15:22:00,03:22:00 PM,45,Sendok Makan Bening
06/05/2023 19:40:00,07:40:00 PM,46,Paper Cup Bolu Kukus
06/05/2023 19:40:00,07:40:00 PM,46,Chocochips 100gr
06/05/2023 19:40:00,07:40:00 PM,46,Selai Coklat Biasa 250gr
06/05/2023 19:40:00,07:40:00 PM,46,Seres Safari Warna
06/05/2023 19:40:00,07:40:00 PM,46,Glaze Tiramisu
06/05/2023 19:40:00,07:40:00 PM,46,Glaze Greentea
06/06/2023 06:32:00,06:32:00 AM,47,Cup 650ml
06/06/2023 06:32:00,06:32:00 AM,47,Maizena 250gr
06/06/2023 06:32:00,06:32:00 AM,47,Wincheez
06/06/2023 06:32:00,06:32:00 AM,47,Wincheez
06/06/2023 06:32:00,06:32:00 AM,47,Sendok Makan Bening
06/06/2023 13:32:00,01:32:00 PM,48,Buldozer 15 Hitam
06/06/2023 13:32:00,01:32:00 PM,48,Plastik Tahan Panas 15x30
06/06/2023 13:49:00,01:49:00 PM,49,Mika 4xc
06/06/2023 13:51:00,01:51:00 PM,50,Sedotan Kecil
06/06/2023 13:51:00,01:51:00 PM,50,Bader 12x25
06/06/2023 13:51:00,01:51:00 PM,50,Bader 12x25
06/06/2023 13:53:00,01:53:00 PM,51,Soda Kue
06/06/2023 13:53:00,01:53:00 PM,51,Mayonais Maestro 180gr
06/06/2023 14:29:00,02:29:00 PM,52,Tepung Roti 250gr
06/06/2023 14:29:00,02:29:00 PM,52,Tepung Roti 250gr
06/06/2023 14:30:00,02:30:00 PM,53,Whippy Haan
06/06/2023 14:32:00,02:32:00 PM,54,Kresek Tomat 15
06/06/2023 19:58:00,07:58:00 PM,55,Mika Brownis Uk L
06/07/2023 10:42:00,10:42:00 AM,56,Wayang 14x25x05
06/07/2023 12:29:00,12:29:00 PM,57,Tepung Ketan Rosebrand
06/07/2023 12:29:00,12:29:00 PM,57,Tepung Ketan Rosebrand
06/07/2023 12:29:00,12:29:00 PM,57,Tepung Ketan Rosebrand
06/07/2023 12:29:00,12:29:00 PM,57,Tepung Ketan Rosebrand
06/07/2023 12:29:00,12:29:00 PM,57,Tepung Ketan Hitam
06/07/2023 12:29:00,12:29:00 PM,57,Tepung Ketan Hitam
06/07/2023 14:08:00,02:08:00 PM,58,Buldozer 24 Putih
06/07/2023 14:08:00,02:08:00 PM,58,Kresek Motto Uk 40 Hitam
06/07/2023 14:29:00,02:29:00 PM,59,Segitiga Biru Kemasan 1kg
06/07/2023 14:29:00,02:29:00 PM,59,Seres Safari Warna
06/07/2023 17:12:00,05:12:00 PM,60,Evaporasi F&N
06/07/2023 17:12:00,05:12:00 PM,60,Evaporasi F&N
06/07/2023 17:12:00,05:12:00 PM,60,Evaporasi F&N
06/07/2023 17:12:00,05:12:00 PM,60,Evaporasi F&N
06/07/2023 17:12:00,05:12:00 PM,60,Evaporasi F&N
06/07/2023 17:12:00,05:12:00 PM,60,Puding Susu Mangga
06/07/2023 17:12:00,05:12:00 PM,60,Puding Susu Mangga
06/07/2023 17:43:00,05:43:00 PM,61,Wayang 14x25x05
06/07/2023 17:43:00,05:43:00 PM,61,Cup 10 Pendek
06/07/2023 17:43:00,05:43:00 PM,61,Roman
06/07/2023 17:43:00,05:43:00 PM,61,Roman
06/08/2023 06:46:00,06:46:00 AM,62,Wayang 14x25x05
06/08/2023 06:46:00,06:46:00 AM,62,Wayang 14x25x05
06/08/2023 06:46:00,06:46:00 AM,62,Dus Donat
06/08/2023 06:46:00,06:46:00 AM,62,Dus Donat
06/08/2023 06:46:00,06:46:00 AM,62,Dus Donat
06/08/2023 06:46:00,06:46:00 AM,62,Dus Donat
06/08/2023 06:46:00,06:46:00 AM,62,Dus Donat
06/08/2023 06:46:00,06:46:00 AM,62,Seres Kiloan/250gr
06/08/2023 06:46:00,06:46:00 AM,62,Seres Kiloan/250gr
06/08/2023 06:46:00,06:46:00 AM,62,Bader 15x30
06/08/2023 08:53:00,08:53:00 AM,63,Forvita 500gr
06/08/2023 08:53:00,08:53:00 AM,63,Tusuk Gigi
06/08/2023 08:55:00,08:55:00 AM,64,Diary Champ
06/08/2023 08:55:00,08:55:00 AM,64,Wincheez
06/08/2023 08:55:00,08:55:00 AM,64,Kresek Tomat 24
